# DDD Analysis Dataset Generated: 2025-10-06 21:21:27
# AOI Center: 45.464200, 9.191400
# AOI Radius: 1500 meters
# Buffer Distance: 1000 meters
# Total Features: 926
# Source PBF: nord-ovest-latest.osm.pbf
#
# Column descriptions:
# - osm_id: OpenStreetMap element ID
# - name: Name of the facility (if available)
# - kind: Category (supermarket, poi, or control)
# - subcategory: Specific OSM tag value (supermarket, bakery, butcher, etc.)
# - source: OSM element type (node or area)
# - zone: Whether in AOI or buffer zone
# - lat, lon: Coordinates in WGS84
# - timestamp: OSM creation timestamp (proxy for opening date)
# - distance_to_duomo_m: Distance to Duomo di Milano in meters
#
# Treatment POI Categories: bakery, greengrocer, butcher, convenience
# Supermarket Category: supermarket
# Control Categories (AOI only): funeral_directors, hairdresser, restaurant
#
osm_id,name,kind,subcategory,source,zone,lat,lon,timestamp,distance_to_duomo_m
2485605764,Torre di Pisa,control,restaurant,node,aoi,45.4717374,9.1845058,2023-11-11 16:57:01,994.0697250868632
2498266536,California Bakery,control,restaurant,node,aoi,45.4623084,9.1740873,2023-11-11 16:57:45,1368.561268311612
2510451756,Ristorante Toscano al Pozzo,control,restaurant,node,aoi,45.4715625,9.1847903,2014-10-04 19:56:46,965.7333721776868
2516079384,Pizzeria Il Faraone,control,restaurant,node,aoi,45.4549359,9.1989759,2021-02-21 10:39:05,1189.1985654244745
2520983381,Panificio pasticceria di Bari Isabella,poi,bakery,node,buffer,45.4573759,9.1611371,2013-11-05 13:25:32,2483.5942919150766
2529853660,Muu Sushi,control,restaurant,node,aoi,45.4534199,9.1802206,2025-08-26 20:43:24,1482.8663034497442
2552341805,Pattini,poi,bakery,node,aoi,45.4738214,9.1871147,2018-06-02 07:20:59,1118.6036852383932
2556161027,Chioma,poi,bakery,node,buffer,45.4599762,9.1716694,2024-04-03 21:03:43,1611.407294991188
2566864255,Esselunga,supermarket,supermarket,node,buffer,45.4834466,9.1896223,2025-05-22 14:45:49,2141.442001311523
2573561563,Carrefour Express,poi,convenience,node,buffer,45.4845054,9.1869047,2025-02-28 17:01:19,2281.6545086054243
2575650566,00 - Doppio Zero,poi,bakery,node,buffer,45.4505573,9.1798278,2020-02-28 18:11:39,1765.545433572709
2581588698,al  Matarel,control,restaurant,node,aoi,45.4755515,9.183208,2022-11-26 11:42:36,1412.688438377953
2584822121,Il Verzeratt 1919,poi,greengrocer,node,aoi,45.458955,9.1922434,2025-05-05 17:27:39,587.785642769729
2602952449,BLAH Bar,control,restaurant,node,aoi,45.4737205,9.1952572,2016-05-14 07:46:07,1099.0246071198096
2778012586,Pam,supermarket,supermarket,node,buffer,45.4741532,9.2113031,2021-02-21 11:41:32,1909.1179257773172
